conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_query,year,text_clean_1,text_clean_2,tokens,token_len,similarity_BREW,similarity_HARGA,similarity_JENIS,similarity_MANFAAT,similarity_RASA,similarity_SOSIALITA,dimensi_prediksi,max_similarity,margin_top1_top2
1608657928718024708,Fri Dec 30 02:55:12 +0000 2022,0,Kepengen kopi tapi apalah daya terakhir minum asam lambung langsung naik,1608657928718024708,,,in,,0,0,0,https://x.com/undefined/status/1608657928718024708,1368580196979249156,,kopi,2022,kepengen kopi tapi apalah daya terakhir minum asam lambung langsung naik,kepengen kopi akan tetapi apalah daya terakhir minum asam lambung langsung naik,"['kepengen', 'kopi', 'akan', 'tetapi', 'apalah', 'daya', 'terakhir', 'minum', 'asam', 'lambung', 'langsung', 'naik']",12,0.0042158797736864375,0.01599333133979437,0.008279745072601364,0.07457148055110212,0.005587387304585502,0.005310041306920308,MANFAAT,0.07457148055110212,0.058578149211307745
1608657452459003908,Fri Dec 30 02:53:18 +0000 2022,1,Saya menjual Toraja Koffie Kopi Ar... seharga Rp60.000. Dapatkan di Shopee sekarang! https://t.co/Y9MdIItBRb #ShopeeID https://t.co/vmWspgAXrS,1608657452459003908,https://pbs.twimg.com/media/FlMZbXYaEAAXwLQ.jpg,,in,,0,0,0,https://x.com/undefined/status/1608657452459003908,912394494,,kopi,2022,saya menjual toraja koffie kopi ar seharga rp60 000 dapatkan di shopee sekarang shopeeid,saya menjual toraja koffie kopi ar seharga rp60 00 dapatkan di shopee sekarang shopeeid,"['saya', 'menjual', 'toraja', 'koffie', 'kopi', 'ar', 'seharga', 'rp60', '00', 'dapatkan', 'di', 'shopee', 'sekarang', 'shopeeid']",14,0.005075086103600486,0.1274304894306065,0.025957159730221772,0.0018817528004462774,0.006726110132913081,0.00639224036095584,HARGA,0.1274304894306065,0.10147332970038472
1608657156886396929,Fri Dec 30 02:52:08 +0000 2022,1,Saya menjual Toraja Koffie Kopi Ar... seharga Rp60.000. Dapatkan di Shopee sekarang! https://t.co/Y9MdIItBRb #ShopeeID https://t.co/kHZBmdMHzL,1608657156886396929,https://pbs.twimg.com/media/FlMZKI3aUAELnMI.jpg,,in,,0,0,0,https://x.com/undefined/status/1608657156886396929,912394494,,kopi,2022,saya menjual toraja koffie kopi ar seharga rp60 000 dapatkan di shopee sekarang shopeeid,saya menjual toraja koffie kopi ar seharga rp60 00 dapatkan di shopee sekarang shopeeid,"['saya', 'menjual', 'toraja', 'koffie', 'kopi', 'ar', 'seharga', 'rp60', '00', 'dapatkan', 'di', 'shopee', 'sekarang', 'shopeeid']",14,0.005075086103600486,0.1274304894306065,0.025957159730221772,0.0018817528004462774,0.006726110132913081,0.00639224036095584,HARGA,0.1274304894306065,0.10147332970038472
1608656886978711553,Fri Dec 30 02:51:03 +0000 2022,0,Saya menjual Kopi Toraja Robusta ... seharga Rp98.000. Dapatkan di Shopee sekarang! https://t.co/5EdavNwY7M #ShopeeID https://t.co/IvTZywYRIu,1608656886978711553,https://pbs.twimg.com/media/FlMY6bKagAAKKZI.jpg,,in,,0,0,0,https://x.com/undefined/status/1608656886978711553,912394494,,kopi,2022,saya menjual kopi toraja robusta seharga rp98 000 dapatkan di shopee sekarang shopeeid,saya menjual kopi toraja robusta seharga rp98 00 dapatkan di shopee sekarang shopeeid,"['saya', 'menjual', 'kopi', 'toraja', 'robusta', 'seharga', 'rp98', '00', 'dapatkan', 'di', 'shopee', 'sekarang', 'shopeeid']",13,0.0053300097655573425,0.09644337874599677,0.0714229581416016,0.0019762740174256335,0.007063965410795141,0.0067133252228988175,HARGA,0.09644337874599677,0.025020420604395174
1608656654467489795,Fri Dec 30 02:50:08 +0000 2022,0,Keknya otw bikin kopi laaagggii,1608656654467489795,,,in,,0,0,0,https://x.com/undefined/status/1608656654467489795,1401050300941701121,,kopi,2022,keknya otw bikin kopi laaagggii,kayaknya otw bikin kopi laaggii,"['kayaknya', 'otw', 'bikin', 'kopi', 'laaggii']",5,0.006350459657842169,0.0030885205366028984,0.012471937029360641,0.05353762795620767,0.008416387462463912,0.007998615926275937,MANFAAT,0.05353762795620767,0.04106569092684703
1608656231111233541,Fri Dec 30 02:48:27 +0000 2022,0,Bangsat jajan kopi siji we nongkrong e sedino kemaki ne ra kiro kiro,1608656231111233541,,,in,,0,0,0,https://x.com/undefined/status/1608656231111233541,1307275795497275393,,kopi,2022,bangsat jajan kopi siji we nongkrong e sedino kemaki ne ra kiro kiro,bangsat jajan kopi siji we nongkrong e sedino kemaki ini ra kiro kiro,"['bangsat', 'jajan', 'kopi', 'siji', 'we', 'nongkrong', 'e', 'sedino', 'kemaki', 'ini', 'ra', 'kiro', 'kiro']",13,0.00339947515138417,0.0016533210797986303,0.006676373413156377,0.0012604656858188881,0.004505390410241454,0.053295191015508905,SOSIALITA,0.053295191015508905,0.04661881760235253
1608655924310462464,Fri Dec 30 02:47:14 +0000 2022,0,Kayanya Siwon cocok jadi orang indonesia Btw kopi kasih santen emang enak? https://t.co/rP9KV9QX7y,1608655924310462464,https://pbs.twimg.com/ext_tw_video_thumb/1608655876885446658/pu/img/UwPJfEr1RlEVR0oM.jpg,,in,,2,2,0,https://x.com/undefined/status/1608655924310462464,1403235003543085062,,kopi,2022,kayanya siwon cocok jadi orang indonesia btw kopi kasih santen emang enak,kayanya siwon cocok jadi orang indonesia btw kopi kasih santen memang enak,"['kayanya', 'siwon', 'cocok', 'jadi', 'orang', 'indonesia', 'btw', 'kopi', 'kasih', 'santen', 'memang', 'enak']",12,0.004026252439118814,0.001958151695115457,0.007907327908616653,0.0014928636968819997,0.05466045343484845,0.005071199349006789,RASA,0.05466045343484845,0.046753125526231794
1608654283989483520,Fri Dec 30 02:40:43 +0000 2022,0,Habis mandi kok malah ngantuk padahal lagi minum kopi,1608654283989483520,,,in,,0,0,0,https://x.com/undefined/status/1608654283989483520,1094737788547653632,,kopi,2022,habis mandi kok malah ngantuk padahal lagi minum kopi,habis mandi kok malah ngantuk padahal lagi minum kopi,"['habis', 'mandi', 'kok', 'malah', 'ngantuk', 'padahal', 'lagi', 'minum', 'kopi']",9,0.005322547679550751,0.0025885996764093066,0.010453177103983486,0.06529610376701948,0.007054075763353297,0.00670392647647865,MANFAAT,0.06529610376701948,0.054842926663036
1608642167681187840,Fri Dec 30 02:39:22 +0000 2022,1,@BudhiSulistyo1 Rasanya ada asam2nya ya kalo kopi campur gula sabu?,1608653943512666112,,BudhiSulistyo1,in,,0,1,0,https://x.com/undefined/status/1608653943512666112,949801697035010048,,kopi,2022,rasanya ada asam2nya ya kalo kopi campur gula sabu,rasanya ada asam2nya ya kalau kopi campur gula sabu,"['rasanya', 'ada', 'asam2nya', 'ya', 'kalau', 'kopi', 'campur', 'gula', 'sabu']",9,0.05377934907703555,0.00233425050309345,0.009426074698326677,0.0017795954441064328,0.00636096034837917,0.0060452158334997185,BREW,0.05377934907703555,0.04435327437870887
1608653704412135424,Fri Dec 30 02:38:25 +0000 2022,0,Kalo mau susu kopi ke Starbucks kalo mau kopi susu ke tempat lain wkwkwk,1608653704412135424,,,in,,0,0,0,https://x.com/undefined/status/1608653704412135424,2220543588,,kopi,2022,kalo mau susu kopi ke starbucks kalo mau kopi susu ke tempat lain wkwkwk,kalau mau susu kopi ke starbucks kalau mau kopi susu ke tempat bukan wkwkwk,"['kalau', 'mau', 'susu', 'kopi', 'ke', 'starbucks', 'kalau', 'mau', 'kopi', 'susu', 'ke', 'tempat', 'bukan', 'wkwkwk']",14,0.008065448503027048,0.00392259847013601,0.06778824240895653,0.0029905266625248066,0.010689295471107814,0.05009417343822749,JENIS,0.06778824240895653,0.017694068970729046
